rom,title,year,manufacturer
5,5,1981,Sega
10yard,"10-Yard Fight (World, set 1)",1983,Irem
10yard85,"10-Yard Fight '85 (US, Taito license)",1985,Irem (Taito license)
10yardj,10-Yard Fight (Japan),1983,Irem
11beat,Eleven Beat,1998,Hudson
1292apvs,1292 Advanced Programmable Video System,1976,Radofin
1392apvs,1392 Advanced Programmable Video System,1976,Radofin
18w,18 Wheeler (set 1),1979,Midway
18w2,18 Wheeler (set 2),1979,Midway
18wheelr,18 Wheeler (deluxe) (Rev A),2000,Sega
18wheels,18 Wheeler (standard),2000,Sega
18wheelu,18 Wheeler (upright),2000,Sega
1941,1941: Counter Attack (World 900227),1990,Capcom
1941j,1941: Counter Attack (Japan),1990,Capcom
1941r1,1941: Counter Attack (World),1990,Capcom
1941u,1941: Counter Attack (USA 900227),1990,Capcom
1942,1942 (Revision B),1984,Capcom
1942a,1942 (Revision A),1984,Capcom
1942abl,"1942 (Revision A, bootleg)",1984,bootleg
1942b,1942 (First Version),1984,Capcom
1942h,1942 (First Version),198?,hack (Two Bit Score?)
1942p,"1942 (Tecfri PCB, bootleg?)",1984,bootleg
1942w,1942 (Williams Electronics license),1985,Capcom (Williams Electronics license)
1943,1943: The Battle of Midway (Euro),1987,Capcom
1943b,"1943: Battle of Midway (bootleg, hack of Japan set)",1987,bootleg
1943bj,1943: Midway Kaisen (bootleg),1987,bootleg
1943j,"1943: Midway Kaisen (Japan, Rev B)",1987,Capcom
1943ja,1943: Midway Kaisen (Japan),1987,Capcom
1943kai,1943 Kai: Midway Kaisen (Japan),1987,Capcom
1943u,"1943: The Battle of Midway (US, Rev C)",1987,Capcom
1943ua,1943: The Battle of Midway (US),1987,Capcom
1944,1944: The Loop Master (USA 000620),2000,Eighting / Raizing (Capcom license)
1944d,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg),2000,bootleg
1944j,1944: The Loop Master (Japan 000620),2000,Eighting / Raizing (Capcom license)
1945kiii,1945k III,2000,Oriental Soft
19in1,19 in 1 MAME bootleg,2004,bootleg
19xx,19XX: The War Against Destiny (USA 951207),1996,Capcom
19xxa,19XX: The War Against Destiny (Asia 960104),1996,Capcom
19xxar1,19XX: The War Against Destiny (Asia 951207),1996,Capcom
19xxb,19XX: The War Against Destiny (Brazil 951218),1996,Capcom
19xxd,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg),1996,bootleg
19xxh,19XX: The War Against Destiny (Hispanic 951218),1996,Capcom
19xxj,"19XX: The War Against Destiny (Japan 960104, yellow case)",1996,Capcom
19xxjr1,19XX: The War Against Destiny (Japan 951225),1996,Capcom
19xxjr2,19XX: The War Against Destiny (Japan 951207),1996,Capcom
1on1gov,1 on 1 Government (Japan),2000,Tecmo
2020bb,2020 Super Baseball (set 1),1991,SNK / Pallas
2020bba,2020 Super Baseball (set 2),1991,SNK / Pallas
2020bbh,2020 Super Baseball (set 3),1991,SNK / Pallas
20pacgal,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08),2000,Namco / Cosmodog
20pacgalr0,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00),2000,Namco / Cosmodog
20pacgalr1,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01),2000,Namco / Cosmodog
20pacgalr2,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02),2000,Namco / Cosmodog
20pacgalr3,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03),2000,Namco / Cosmodog
20pacgalr4,Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04),2000,Namco / Cosmodog
22vp931,Phillips 22VP931,,
22vp932,Phillips 22VP932,,
24_130,24 v1.30,2009,Stern
24_140,24 v1.40,2009,Stern
24_144,24 v1.44,2009,Stern
24_150,24 v1.50,2009,Stern
24cdjuke,Midcoin Juke Box 24CD,1988,Midcoin
25pacman,Pac-Man - 25th Anniversary Edition (Rev 3.00),2006,Namco / Cosmodog
